Participant_ID,Cycle_Phase,Craving_Type,Craved_Food_Item,Craving_Intensity,Craving_Frequency,Preferred_Action_When_Craving
P0001,Follicular,Salty,Nuts,6,Sometimes,Go Out
P0002,Ovulation,Fatty,Burger,6,Always,Eat
P0003,Luteal,Spicy,Pizza,7,Sometimes,Watch Movie
P0004,Follicular,Sweet,Cookies,7,Often,Go Out
P0005,Follicular,Spicy,Pizza,2,Often,Watch Movie
P0006,Menstrual,Sweet,Cake,9,Sometimes,Watch Movie
P0007,Follicular,Sweet,Candy,4,Always,Eat
P0008,Ovulation,Salty,Nuts,10,Always,Watch Movie
P0009,Menstrual,None,None,9,Rare,Watch Movie
P0010,Ovulation,Sweet,Ice Cream,10,Often,Watch Movie
P0011,Menstrual,Sweet,Ice Cream,3,Sometimes,Watch Movie
P0012,Ovulation,Sweet,Ice Cream,5,Often,Eat
P0013,Luteal,Sweet,Chocolate,5,Often,Go Out
P0014,Luteal,None,None,7,Often,Rest
P0015,Ovulation,Sweet,Cake,4,Often,Go Out
P0016,Menstrual,Sweet,Ice Cream,4,Sometimes,Rest
P0017,Menstrual,Spicy,Pizza,1,Often,Go Out
P0018,Follicular,Spicy,Spicy Snacks,6,Sometimes,Rest
P0019,Menstrual,Spicy,Tacos,4,Always,Eat
P0020,Ovulation,Spicy,Spicy Snacks,10,Always,Eat
P0021,Ovulation,Sweet,Chocolate,10,Often,Watch Movie
P0022,Follicular,Sweet,Cake,5,Often,Watch Movie
P0023,Luteal,Sweet,Chocolate,9,Often,Rest
P0024,Luteal,None,None,4,Often,Eat
P0025,Follicular,Spicy,Spicy Snacks,1,Often,Eat
P0026,Follicular,Sweet,Ice Cream,9,Sometimes,Eat
P0027,Menstrual,Sweet,Cake,5,Sometimes,Eat
P0028,Ovulation,Sweet,Ice Cream,10,Sometimes,Go Out
P0029,Ovulation,Spicy,Pizza,7,Often,Eat
P0030,Menstrual,Salty,Nuts,3,Often,Go Out
P0031,Ovulation,Sweet,Ice Cream,4,Often,Rest
P0032,Luteal,Salty,Nuts,10,Rare,Rest
P0033,Luteal,Sweet,Ice Cream,9,Rare,Watch Movie
P0034,Follicular,Sweet,Candy,10,Sometimes,Rest
P0035,Ovulation,Salty,Popcorn,1,Always,Go Out
P0036,Ovulation,Spicy,Pizza,5,Always,Go Out
P0037,Luteal,Spicy,Spicy Snacks,8,Sometimes,Watch Movie
P0038,Menstrual,Salty,Popcorn,10,Often,Eat
P0039,Follicular,Spicy,Tacos,7,Sometimes,Watch Movie
P0040,Menstrual,Sweet,Chocolate,4,Sometimes,Go Out
P0041,Ovulation,Fatty,Cheese,7,Sometimes,Rest
P0042,Luteal,Sweet,Cake,1,Sometimes,Watch Movie
P0043,Follicular,Salty,Chips,6,Sometimes,Go Out
P0044,Luteal,Salty,Popcorn,9,Always,Rest
P0045,Luteal,Salty,Chips,3,Sometimes,Rest
P0046,Luteal,Salty,Chips,4,Rare,Watch Movie
P0047,Follicular,Fatty,Cheese,8,Often,Go Out
P0048,Follicular,Sweet,Cake,5,Often,Go Out
P0049,Luteal,Spicy,Pizza,5,Often,Go Out
P0050,Ovulation,Fatty,Fries,1,Often,Go Out
P0051,Luteal,Fatty,Burger,6,Often,Rest
P0052,Menstrual,Salty,Nuts,2,Always,Rest
P0053,Luteal,None,None,1,Often,Go Out
P0054,Ovulation,Fatty,Burger,6,Sometimes,Eat
P0055,Menstrual,Fatty,Fries,5,Always,Eat
P0056,Ovulation,Fatty,Fries,5,Rare,Rest
P0057,Menstrual,Fatty,Burger,9,Often,Eat
P0058,Luteal,Fatty,Fries,10,Rare,Go Out
P0059,Menstrual,Sweet,Candy,10,Sometimes,Eat
P0060,Ovulation,Sweet,Chocolate,3,Often,Watch Movie
P0061,Luteal,Spicy,Pizza,1,Sometimes,Eat
P0062,Menstrual,None,None,8,Sometimes,Rest
P0063,Follicular,Salty,Nuts,5,Rare,Eat
P0064,Luteal,Salty,Chips,5,Often,Eat
P0065,Menstrual,Sweet,Cookies,8,Often,Eat
P0066,Menstrual,Spicy,Tacos,8,Sometimes,Eat
P0067,Follicular,Spicy,Pizza,2,Often,Rest
P0068,Luteal,Sweet,Cookies,3,Sometimes,Rest
P0069,Menstrual,Sweet,Chocolate,10,Always,Watch Movie
P0070,Menstrual,Sweet,Chocolate,10,Often,Rest
P0071,Ovulation,Sweet,Cake,1,Sometimes,Rest
P0072,Menstrual,Spicy,Tacos,3,Sometimes,Watch Movie
P0073,Follicular,Salty,Popcorn,4,Sometimes,Go Out
P0074,Follicular,Sweet,Cake,7,Often,Go Out
P0075,Menstrual,Spicy,Spicy Snacks,9,Often,Go Out
P0076,Menstrual,Spicy,Tacos,5,Rare,Go Out
P0077,Follicular,Salty,Nuts,1,Rare,Rest
P0078,Follicular,Sweet,Ice Cream,2,Sometimes,Rest
P0079,Ovulation,Sweet,Chocolate,10,Always,Watch Movie
P0080,Luteal,Sweet,Candy,2,Sometimes,Eat
P0081,Ovulation,Salty,Popcorn,9,Sometimes,Watch Movie
P0082,Ovulation,Fatty,Fries,10,Often,Rest
P0083,Follicular,Salty,Nuts,7,Often,Watch Movie
P0084,Ovulation,Sweet,Cake,2,Often,Eat
P0085,Luteal,Sweet,Chocolate,1,Sometimes,Go Out
P0086,Menstrual,Sweet,Candy,5,Often,Go Out
P0087,Menstrual,Sweet,Candy,1,Often,Eat
P0088,Menstrual,Sweet,Cake,9,Sometimes,Rest
P0089,Follicular,Fatty,Cheese,3,Rare,Rest
P0090,Menstrual,Sweet,Chocolate,2,Always,Eat
P0091,Menstrual,Fatty,Cheese,6,Always,Rest
P0092,Follicular,Salty,Nuts,3,Often,Go Out
P0093,Luteal,Sweet,Cookies,5,Sometimes,Eat
P0094,Follicular,Salty,Popcorn,10,Often,Watch Movie
P0095,Menstrual,Salty,Nuts,8,Always,Watch Movie
P0096,Luteal,Fatty,Burger,10,Sometimes,Eat
P0097,Ovulation,Salty,Chips,2,Always,Rest
P0098,Menstrual,Salty,Chips,5,Often,Watch Movie
P0099,Luteal,None,None,8,Always,Go Out
P0100,Follicular,Fatty,Burger,1,Often,Eat
P0101,Ovulation,Fatty,Cheese,10,Often,Eat
P0102,Luteal,Salty,Popcorn,10,Often,Watch Movie
P0103,Ovulation,Spicy,Spicy Snacks,4,Sometimes,Watch Movie
P0104,Ovulation,Fatty,Cheese,5,Often,Watch Movie
P0105,Menstrual,Fatty,Cheese,10,Rare,Eat
P0106,Ovulation,Sweet,Cookies,3,Sometimes,Eat
P0107,Menstrual,Sweet,Cake,2,Always,Rest
P0108,Follicular,None,None,3,Sometimes,Go Out
P0109,Menstrual,None,None,5,Rare,Watch Movie
P0110,Ovulation,Sweet,Cookies,7,Often,Rest
P0111,Luteal,Salty,Chips,2,Always,Eat
P0112,Follicular,Sweet,Cake,7,Always,Watch Movie
P0113,Menstrual,Salty,Nuts,6,Always,Watch Movie
P0114,Luteal,Fatty,Cheese,7,Often,Rest
P0115,Menstrual,Sweet,Cake,7,Often,Eat
P0116,Follicular,Spicy,Tacos,9,Often,Go Out
P0117,Luteal,Sweet,Cake,7,Always,Watch Movie
P0118,Follicular,Salty,Popcorn,6,Always,Eat
P0119,Luteal,Sweet,Cake,10,Often,Go Out
P0120,Ovulation,Salty,Chips,8,Sometimes,Watch Movie
P0121,Menstrual,Salty,Nuts,7,Sometimes,Rest
P0122,Ovulation,Salty,Nuts,6,Always,Watch Movie
P0123,Follicular,Spicy,Tacos,4,Sometimes,Go Out
P0124,Ovulation,Sweet,Ice Cream,7,Often,Eat
P0125,Menstrual,Salty,Popcorn,8,Often,Rest
P0126,Ovulation,Spicy,Pizza,8,Often,Eat
P0127,Menstrual,Sweet,Chocolate,4,Often,Eat
P0128,Menstrual,Sweet,Chocolate,10,Sometimes,Watch Movie
P0129,Luteal,Fatty,Cheese,9,Sometimes,Go Out
P0130,Menstrual,Salty,Popcorn,3,Often,Eat
P0131,Luteal,Sweet,Cake,9,Often,Watch Movie
P0132,Luteal,Salty,Chips,3,Sometimes,Watch Movie
P0133,Ovulation,Salty,Nuts,7,Always,Eat
P0134,Ovulation,Salty,Nuts,4,Sometimes,Eat
P0135,Follicular,None,None,5,Sometimes,Go Out
P0136,Ovulation,Spicy,Spicy Snacks,3,Sometimes,Eat
P0137,Ovulation,Sweet,Candy,2,Often,Watch Movie
P0138,Menstrual,Spicy,Spicy Snacks,8,Often,Watch Movie
P0139,Ovulation,Sweet,Chocolate,7,Always,Go Out
P0140,Follicular,Salty,Chips,7,Sometimes,Eat
P0141,Ovulation,Fatty,Burger,8,Often,Eat
P0142,Menstrual,Sweet,Ice Cream,1,Always,Watch Movie
P0143,Menstrual,Spicy,Spicy Snacks,8,Always,Go Out
P0144,Luteal,None,None,10,Sometimes,Go Out
P0145,Follicular,Sweet,Ice Cream,5,Sometimes,Eat
P0146,Ovulation,Fatty,Cheese,8,Often,Rest
P0147,Ovulation,Fatty,Cheese,9,Sometimes,Rest
P0148,Follicular,Salty,Chips,2,Sometimes,Watch Movie
P0149,Ovulation,None,None,3,Sometimes,Go Out
P0150,Menstrual,Sweet,Cookies,6,Rare,Eat
P0151,Menstrual,Spicy,Spicy Snacks,9,Often,Eat
P0152,Luteal,Spicy,Spicy Snacks,10,Often,Go Out
P0153,Menstrual,None,None,10,Often,Watch Movie
P0154,Ovulation,Salty,Nuts,8,Sometimes,Watch Movie
P0155,Follicular,Sweet,Chocolate,6,Rare,Eat
P0156,Ovulation,Sweet,Candy,5,Rare,Rest
P0157,Ovulation,Salty,Chips,3,Sometimes,Rest
P0158,Ovulation,None,None,4,Sometimes,Go Out
P0159,Follicular,Fatty,Fries,7,Sometimes,Watch Movie
P0160,Ovulation,Sweet,Cake,7,Often,Rest
P0161,Ovulation,Sweet,Cookies,3,Sometimes,Go Out
P0162,Ovulation,Spicy,Tacos,4,Always,Eat
P0163,Follicular,Salty,Popcorn,3,Sometimes,Eat
P0164,Menstrual,Sweet,Chocolate,2,Always,Eat
